fipscode,last,party,votepct
20141,Trump,GOP,0.837532
20143,Trump,GOP,0.817925
20145,Trump,GOP,0.746623
20147,Trump,GOP,0.869471
20149,Trump,GOP,0.722464
20151,Trump,GOP,0.751269
20153,Trump,GOP,0.838431
20155,Trump,GOP,0.660069
20157,Trump,GOP,0.821227
20159,Trump,GOP,0.755267
20161,Trump,GOP,0.461245
20163,Trump,GOP,0.86143
20165,Trump,GOP,0.805009
20167,Trump,GOP,0.80473
20169,Trump,GOP,0.640903
20171,Trump,GOP,0.855565
20173,Trump,GOP,0.547262
20175,Trump,GOP,0.636947
20177,Trump,GOP,0.472151
20179,Trump,GOP,0.887197
20181,Trump,GOP,0.83205
20183,Trump,GOP,0.828088
20185,Trump,GOP,0.808751
20187,Trump,GOP,0.791237
20189,Trump,GOP,0.866568
20191,Trump,GOP,0.741673
20193,Trump,GOP,0.821522
20195,Trump,GOP,0.836196
20197,Trump,GOP,0.729113
20199,Trump,GOP,0.933333
20201,Trump,GOP,0.819632
20203,Trump,GOP,0.834711
20205,Trump,GOP,0.79742
20207,Trump,GOP,0.794308
20209,Trump,GOP,0.333433
21001,Trump,GOP,0.830309
21003,Trump,GOP,0.810231
21005,Trump,GOP,0.729352
21007,Trump,GOP,0.79432
21009,Trump,GOP,0.730691
21011,Trump,GOP,0.70837
21013,Trump,GOP,0.810434
21015,Trump,GOP,0.669265
21017,Trump,GOP,0.641916
21019,Trump,GOP,0.657513
21021,Trump,GOP,0.613258
21023,Trump,GOP,0.80066
21025,Trump,GOP,0.7534
21027,Trump,GOP,0.755222
21029,Trump,GOP,0.731753
21031,Trump,GOP,0.810193
21033,Trump,GOP,0.763223
21035,Trump,GOP,0.650656
21037,Trump,GOP,0.583241
21039,Trump,GOP,0.818423
21041,Trump,GOP,0.714389
21043,Trump,GOP,0.757445
21045,Trump,GOP,0.861665
21047,Trump,GOP,0.631941
21049,Trump,GOP,0.651534
21051,Trump,GOP,0.87971
21053,Trump,GOP,0.867802
21055,Trump,GOP,0.813531
21057,Trump,GOP,0.836809
21059,Trump,GOP,0.630013
21061,Trump,GOP,0.787473
21063,Trump,GOP,0.749917
21065,Trump,GOP,0.780055
21067,Trump,GOP,0.385426
21069,Trump,GOP,0.783187
21071,Trump,GOP,0.74919
21073,Trump,GOP,0.494993
21075,Trump,GOP,0.662268
21077,Trump,GOP,0.767732
21079,Trump,GOP,0.776054
21081,Trump,GOP,0.785611
21083,Trump,GOP,0.775956
21085,Trump,GOP,0.788868
21087,Trump,GOP,0.832416
21089,Trump,GOP,0.71875
21091,Trump,GOP,0.685633
21093,Trump,GOP,0.60955
21095,Trump,GOP,0.853796
21097,Trump,GOP,0.715464
21099,Trump,GOP,0.758155
21101,Trump,GOP,0.615333
21103,Trump,GOP,0.720735
21105,Trump,GOP,0.779445
21107,Trump,GOP,0.732577
21109,Trump,GOP,0.892033
21111,Trump,GOP,0.390078
21113,Trump,GOP,0.651251
21115,Trump,GOP,0.829082
21117,Trump,GOP,0.586081
21119,Trump,GOP,0.764555
21121,Trump,GOP,0.829654
21123,Trump,GOP,0.77866
21125,Trump,GOP,0.82691
21127,Trump,GOP,0.809921
21129,Trump,GOP,0.811496
21131,Trump,GOP,0.89815
21133,Trump,GOP,0.791024
21135,Trump,GOP,0.847527
21137,Trump,GOP,0.77788
21139,Trump,GOP,0.801519
21141,Trump,GOP,0.734408
21143,Trump,GOP,0.733207
21145,Trump,GOP,0.650838
21147,Trump,GOP,0.880186
21149,Trump,GOP,0.759724
21151,Trump,GOP,0.622987
21153,Trump,GOP,0.766293
21155,Trump,GOP,0.6847
21157,Trump,GOP,0.755468
21159,Trump,GOP,0.889567
21161,Trump,GOP,0.688238
21163,Trump,GOP,0.721777
21165,Trump,GOP,0.745003
21167,Trump,GOP,0.72484
21169,Trump,GOP,0.789904
21171,Trump,GOP,0.868293
21173,Trump,GOP,0.700553
21175,Trump,GOP,0.776074
21177,Trump,GOP,0.737615
21179,Trump,GOP,0.675543
21181,Trump,GOP,0.709069
21183,Trump,GOP,0.771277
21185,Trump,GOP,0.597101
21187,Trump,GOP,0.786657
21189,Trump,GOP,0.881329
21191,Trump,GOP,0.79639
21193,Trump,GOP,0.76501
21195,Trump,GOP,0.799306
21197,Trump,GOP,0.73406
21199,Trump,GOP,0.806658
21201,Trump,GOP,0.771379
21203,Trump,GOP,0.845047
21205,Trump,GOP,0.595944
21207,Trump,GOP,0.839736
21209,Trump,GOP,0.613586
21211,Trump,GOP,0.639414
21213,Trump,GOP,0.674301
21215,Trump,GOP,0.764459
21217,Trump,GOP,0.749361
21219,Trump,GOP,0.758119
21221,Trump,GOP,0.744
21223,Trump,GOP,0.747164
21225,Trump,GOP,0.755018
21227,Trump,GOP,0.574322
21229,Trump,GOP,0.720231
21231,Trump,GOP,0.804113
21233,Trump,GOP,0.752128
21235,Trump,GOP,0.818857
21237,Trump,GOP,0.703927
21239,Trump,GOP,0.549734
22001,Trump,GOP,0.794934
22003,Trump,GOP,0.772069
22005,Trump,GOP,0.65282
22007,Trump,GOP,0.647174
22009,Trump,GOP,0.695582
22011,Trump,GOP,0.82992
22013,Trump,GOP,0.551915
22015,Trump,GOP,0.696624
22017,Trump,GOP,0.457726
22019,Trump,GOP,0.666151
22021,Trump,GOP,0.834943
22023,Trump,GOP,0.908888
22025,Trump,GOP,0.728901
22027,Trump,GOP,0.572948
22029,Trump,GOP,0.628681
22031,Trump,GOP,0.61835
22033,Trump,GOP,0.424725
22035,Trump,GOP,0.355731
22037,Trump,GOP,0.577029
22039,Trump,GOP,0.717168
22041,Trump,GOP,0.717078
22043,Trump,GOP,0.864246
22045,Trump,GOP,0.649619
22047,Trump,GOP,0.472098
22049,Trump,GOP,0.706761
22051,Trump,GOP,0.546882
22053,Trump,GOP,0.769692
22055,Trump,GOP,0.633238
22057,Trump,GOP,0.79369
22059,Trump,GOP,0.901229
22061,Trump,GOP,0.586822
22063,Trump,GOP,0.841285
22065,Trump,GOP,0.413276
22067,Trump,GOP,0.562468
22069,Trump,GOP,0.565301
22071,Trump,GOP,0.14995
22073,Trump,GOP,0.610922
22075,Trump,GOP,0.672962
22077,Trump,GOP,0.606499
22079,Trump,GOP,0.65144
22081,Trump,GOP,0.583979
22083,Trump,GOP,0.664688
22085,Trump,GOP,0.828237
22087,Trump,GOP,0.633371
22089,Trump,GOP,0.639373
22091,Trump,GOP,0.440728
22093,Trump,GOP,0.472915
22095,Trump,GOP,0.351717
22097,Trump,GOP,0.563032
22099,Trump,GOP,0.673238
22101,Trump,GOP,0.638791
22103,Trump,GOP,0.711341
22105,Trump,GOP,0.65566
22107,Trump,GOP,0.468677
22109,Trump,GOP,0.742625
22111,Trump,GOP,0.750558
22113,Trump,GOP,0.802591
22115,Trump,GOP,0.816945
22117,Trump,GOP,0.681956
22119,Trump,GOP,0.649429
22121,Trump,GOP,0.545081
22123,Trump,GOP,0.854513
22125,Trump,GOP,0.616305
22127,Trump,GOP,0.742008
25023,Biden,Dem,0.577821
25017,Biden,Dem,0.718267
25005,Biden,Dem,0.551036
25003,Biden,Dem,0.726592
25013,Biden,Dem,0.57933
25009,Biden,Dem,0.637263
25015,Biden,Dem,0.724162
25027,Biden,Dem,0.578378
25011,Biden,Dem,0.709879
25021,Biden,Dem,0.673929
25001,Biden,Dem,0.614116
25025,Biden,Dem,0.810458
25007,Biden,Dem,0.776655
25019,Biden,Dem,0.720214
24001,Biden,Dem,0.300154
24003,Biden,Dem,0.563081
24005,Biden,Dem,0.627349
24510,Biden,Dem,0.877518
24009,Biden,Dem,0.462545
24011,Biden,Dem,0.323924
24013,Biden,Dem,0.366731
24015,Biden,Dem,0.355573
24017,Biden,Dem,0.698056
24019,Biden,Dem,0.430338
24021,Biden,Dem,0.53729
24023,Biden,Dem,0.210604
24025,Biden,Dem,0.428573
24027,Biden,Dem,0.713822
24029,Biden,Dem,0.496182
24031,Biden,Dem,0.792284
24033,Biden,Dem,0.896789
24035,Biden,Dem,0.356029
24037,Biden,Dem,0.418114
24039,Biden,Dem,0.419195
24041,Biden,Dem,0.493839
24043,Biden,Dem,0.38578
24045,Biden,Dem,0.479695
24047,Biden,Dem,0.397884
23021,Biden,Dem,0.355073
23031,Biden,Dem,0.549069
23029,Biden,Dem,0.389638
23011,Biden,Dem,0.485762
23003,Biden,Dem,0.390465
23015,Biden,Dem,0.537594
23019,Biden,Dem,0.442323
23009,Biden,Dem,0.548363
23017,Biden,Dem,0.440566
23025,Biden,Dem,0.369918
23013,Biden,Dem,0.587275
23023,Biden,Dem,0.562822
23007,Biden,Dem,0.464002
23005,Biden,Dem,0.668615
23027,Biden,Dem,0.507586
23001,Biden,Dem,0.470469
26001,Biden,Dem,0.303271
26003,Biden,Dem,0.400351
26005,Biden,Dem,0.364464
26007,Biden,Dem,0.353648
26009,Biden,Dem,0.373691
26011,Biden,Dem,0.314121
26013,Biden,Dem,0.366204
26015,Biden,Dem,0.328561
26017,Biden,Dem,0.43402
26019,Biden,Dem,0.446982
26021,Biden,Dem,0.45446
26023,Biden,Dem,0.299912
26025,Biden,Dem,0.435708
26027,Biden,Dem,0.3483
26029,Biden,Dem,0.408176
26031,Biden,Dem,0.342639
26033,Biden,Dem,0.376871
26035,Biden,Dem,0.319329
26037,Biden,Dem,0.458526
26039,Biden,Dem,0.339906
26041,Biden,Dem,0.359605
26043,Biden,Dem,0.325177
26045,Biden,Dem,0.486735
26047,Biden,Dem,0.435696
26049,Biden,Dem,0.539455
26051,Biden,Dem,0.309799
26053,Biden,Dem,0.43189
26055,Biden,Dem,0.476248
26057,Biden,Dem,0.349942
26059,Biden,Dem,0.252619
26061,Biden,Dem,0.418896
26063,Biden,Dem,0.297771
26065,Biden,Dem,0.651964
26067,Biden,Dem,0.338488
26069,Biden,Dem,0.349827
26071,Biden,Dem,0.367212
26073,Biden,Dem,0.478493
26075,Biden,Dem,0.395757
26077,Biden,Dem,0.583682
26079,Biden,Dem,0.282408
26081,Biden,Dem,0.520772
26083,Biden,Dem,0.431599
26085,Biden,Dem,0.361854
26087,Biden,Dem,0.310923
26089,Biden,Dem,0.520476
26091,Biden,Dem,0.391914
26093,Biden,Dem,0.379189
26095,Biden,Dem,0.280573
26097,Biden,Dem,0.375196
26099,Biden,Dem,0.453143
26101,Biden,Dem,0.416746
26103,Biden,Dem,0.546345
26105,Biden,Dem,0.394342
26107,Biden,Dem,0.350423
26109,Biden,Dem,0.342377
26111,Biden,Dem,0.417602
26113,Biden,Dem,0.224697
26115,Biden,Dem,0.378379
26117,Biden,Dem,0.302406
26119,Biden,Dem,0.277863
26121,Biden,Dem,0.493785
26123,Biden,Dem,0.289918
26125,Biden,Dem,0.563676
26127,Biden,Dem,0.351586
